#{"t_start": 1774620365.5528686, "env_id": "None"}
r,l,t
368.65092,50,102.288088
364.459966,50,102.940845
372.370485,50,103.535564
358.534219,50,104.192308
369.558186,50,104.880744
372.054647,50,105.469585
369.538844,50,106.027328
368.493036,50,106.563825
359.59922,50,107.110297
370.919866,50,107.722121
368.412527,50,108.310923
359.972116,50,108.88477
367.009816,50,109.46451
367.892021,50,110.078236
367.831096,50,110.696333
357.111868,50,111.349408
365.29442,50,111.880834
362.750237,50,112.407698
362.926395,50,112.961819
360.562198,50,113.561649
356.085285,50,114.124093
332.270532,50,114.67703
364.197567,50,115.248142
354.056033,50,116.317296
356.707073,50,116.867764
371.48049,50,117.400198
365.842302,50,117.939001
362.94015,50,118.462343
365.003939,50,119.087263
366.574838,50,119.661094
354.042301,50,120.217224
346.831021,50,120.755232
351.061421,50,121.328023
366.068859,50,121.859944
364.948088,50,122.386811
370.068339,50,122.947381
370.381917,50,123.58299
366.913332,50,124.152079
368.292392,50,124.739105
364.267047,50,125.465225
361.391,50,126.101665
373.432639,50,126.724212
363.171752,50,127.339498
370.912286,50,128.005579
367.078959,50,128.581951
370.112116,50,129.228356
376.665785,50,129.791861
372.45768,50,130.441149
377.994061,50,130.995899
365.697151,50,131.535233
364.020567,50,132.063493
364.083926,50,132.610081
362.331476,50,133.165313
353.588293,50,133.737725
361.257026,50,134.291625
367.667649,50,134.862591
358.653388,50,135.412045
366.853939,50,136.036777
371.296162,50,136.585508
359.6436,50,137.144528
352.885135,50,137.722225
360.584672,50,138.3529
353.769536,50,138.958103
335.785471,50,139.921122
351.9647,50,140.427693
332.108104,50,140.934142
351.959015,50,141.440817
375.408533,50,141.984595
361.69558,50,142.573949
354.182065,50,143.091386
323.857506,50,143.753633
314.954454,50,144.434862
350.732573,50,145.174644
311.685876,50,145.94548
336.256631,50,146.587843
334.586584,50,147.25096
369.523848,50,147.927035
370.820559,50,148.570483
358.348352,50,149.247389
327.53323,50,149.906304
326.968515,50,150.650587
332.712939,50,151.322125
344.300743,50,152.103489
361.753007,50,152.831466
347.490952,50,153.57796
312.77464,50,154.289372
322.180273,50,155.045907
324.511162,50,155.763266
363.481213,50,156.548512
