#{"t_start": 1758870006.0661898, "env_id": "None"}
r,l,t
-876.368124,50,28.682112
-876.368124,50,28.754848
-876.368124,50,29.413073
-876.368124,50,29.510099
-876.368124,50,29.617229
-876.368124,50,29.706849
-876.368124,50,29.776585
-876.368124,50,29.843843
-876.368124,50,29.913518
-876.368124,50,29.984271
-876.368124,50,30.054298
-876.368124,50,30.122581
-876.368124,50,30.192641
-876.368124,50,30.26089
-876.368124,50,30.331017
-876.368124,50,30.403564
-876.368124,50,30.471415
-876.368124,50,30.540326
-876.368124,50,30.608181
-876.368124,50,30.69958
-876.368124,50,30.815857
-876.368124,50,30.918571
-876.368124,50,30.990908
-876.368124,50,31.54984
-876.368124,50,31.627639
-876.368124,50,31.705443
-876.368124,50,31.773717
-876.368124,50,31.84242
-876.368124,50,31.912719
-876.368124,50,31.984502
-876.368124,50,32.054563
-876.368124,50,32.12429
-876.368124,50,32.193521
-876.368124,50,32.262126
-876.368124,50,32.33067
-876.368124,50,32.408613
-876.368124,50,32.500143
-876.368124,50,32.887343
-876.368124,50,32.961094
-876.368124,50,33.031368
-876.368124,50,33.100957
-876.368124,50,33.16957
-876.368124,50,33.237422
-876.368124,50,33.783373
-876.368124,50,33.861242
-876.368124,50,33.942968
-876.368124,50,34.015896
-876.368124,50,34.094656
-876.368124,50,34.173622
-876.368124,50,34.249617
-876.368124,50,34.324486
-876.368124,50,34.393794
-876.368124,50,34.465082
-876.368124,50,34.535062
-876.368124,50,34.603282
-876.368124,50,34.66999
-876.368124,50,34.740547
-876.368124,50,34.812539
-876.368124,50,34.882967
-876.368124,50,34.953623
-876.368124,50,35.023764
-876.368124,50,35.091737
-876.368124,50,35.168011
-876.368124,50,35.236565
-876.368124,50,35.837413
-876.368124,50,35.926555
-876.368124,50,36.008147
-876.368124,50,36.084917
-876.368124,50,36.159591
-876.368124,50,36.229514
-876.368124,50,36.298234
-876.368124,50,36.367413
-876.368124,50,36.451516
-876.368124,50,36.524733
-876.368124,50,36.593002
-876.368124,50,36.661186
-876.368124,50,36.734583
-876.368124,50,37.146759
-876.368124,50,37.218385
-876.368124,50,37.286738
-876.368124,50,37.355534
-876.368124,50,37.425272
-876.368124,50,37.497544
-876.368124,50,37.594253
-876.368124,50,38.149055
-876.368124,50,38.235422
-876.368124,50,38.316047
-876.368124,50,38.386147
-876.368124,50,38.456555
-876.368124,50,38.528126
-876.368124,50,38.598604
-876.368124,50,38.671504
-876.368124,50,38.741344
-876.368124,50,38.813121
-876.368124,50,38.890828
-876.368124,50,38.959147
-876.368124,50,39.038136
-876.368124,50,39.106765
-876.368124,50,39.190728
