#{"t_start": 1771319763.528739, "env_id": "None"}
r,l,t
88.941141,100,50.820304
88.944741,100,50.953058
88.944741,100,51.966782
88.944741,100,52.107535
88.944741,100,52.240347
88.944741,100,52.375714
88.944741,100,52.506869
88.944741,100,52.638776
88.944741,100,52.770854
88.944741,100,52.902467
88.944741,100,53.034518
88.944741,100,53.165948
88.944741,100,53.297027
88.944741,100,53.440122
88.944741,100,53.577073
88.944741,100,53.708644
88.944741,100,53.841576
88.944741,100,53.977273
88.944741,100,54.109912
88.944741,100,54.2416
88.944741,100,54.375478
88.944741,100,54.508811
88.944741,100,55.499583
88.944741,100,55.656581
88.944741,100,55.790277
88.944741,100,55.923564
88.944741,100,56.055327
88.944741,100,56.187968
88.944741,100,56.320255
88.944741,100,56.45347
88.944741,100,56.588021
88.944741,100,56.730567
88.944741,100,56.867604
88.944741,100,57.000077
88.944741,100,57.131418
88.944741,100,57.265178
88.944741,100,58.035074
88.944741,100,58.169592
88.944741,100,58.304637
88.944741,100,58.440306
88.944741,100,58.575328
88.944741,100,58.710601
88.944741,100,58.846498
88.944741,100,59.909871
88.944741,100,60.075908
88.942148,100,60.219925
88.944741,100,60.36164
89.103027,100,60.508118
88.944741,100,60.647165
88.944741,100,60.780328
88.944741,100,60.912297
88.944741,100,61.045533
88.944741,100,61.178746
88.944741,100,61.312046
88.944741,100,61.444479
88.944741,100,61.578033
88.944741,100,61.710024
88.944741,100,61.857713
88.944741,100,61.997316
88.944741,100,62.128535
88.944741,100,62.259803
88.944741,100,62.39146
88.944741,100,62.524766
88.944741,100,63.529375
88.944741,100,63.681937
88.944741,100,63.818863
88.944741,100,63.953212
88.944281,100,64.087137
88.943612,100,64.221976
88.944741,100,64.355157
88.944741,100,64.489697
88.944741,100,64.624164
88.944741,100,64.759131
88.944006,100,64.893444
88.944741,100,65.027091
88.944741,100,65.158115
88.944741,100,65.28902
88.944741,100,65.422204
88.944741,100,65.57478
88.944741,100,65.719527
88.944741,100,65.852321
89.000538,100,65.985065
88.944741,100,66.117383
88.944741,100,66.25042
88.944516,100,67.286889
88.944092,100,67.427043
88.944741,100,68.176684
88.944741,100,68.313259
88.944741,100,68.446777
88.944741,100,68.58345
88.944741,100,68.715284
88.944741,100,68.848752
88.944741,100,68.981277
88.944741,100,69.115169
88.944741,100,69.248556
88.944741,100,69.382019
88.944741,100,69.51504
88.944741,100,69.647448
88.944741,100,69.778486
88.944741,100,69.909535
88.944741,100,70.040079
88.944741,100,70.17132
88.944741,100,70.301832
88.944741,100,70.434019
88.944741,100,71.438027
88.944741,100,71.593921
88.944741,100,71.729047
88.944741,100,71.861265
88.944741,100,71.99319
88.944741,100,72.134502
88.944741,100,72.274041
88.944741,100,72.407217
88.944741,100,72.538977
88.944741,100,72.674011
88.944741,100,72.806046
88.944741,100,72.938445
88.944741,100,73.070003
88.944741,100,73.202111
88.944741,100,73.334036
88.944741,100,73.474224
88.944741,100,73.606656
88.944741,100,73.739744
88.944741,100,73.871764
88.944741,100,74.003783
88.944741,100,74.135855
88.944741,100,75.155747
88.944741,100,75.294321
88.944741,100,75.427778
88.944741,100,75.562065
88.944741,100,75.697084
88.944741,100,75.830575
88.944741,100,75.963031
88.944741,100,76.095672
88.944741,100,76.228448
88.944741,100,76.361835
88.944741,100,76.49497
88.944741,100,77.249594
88.944741,100,77.389538
88.944741,100,77.522606
88.944741,100,77.654866
88.944741,100,77.790413
88.944741,100,77.925701
88.944741,100,78.060992
88.944741,100,78.197582
88.944741,100,78.329625
88.944741,100,79.341051
88.944741,100,79.494298
88.944741,100,79.62808
88.944741,100,79.760928
88.944741,100,79.892383
88.944741,100,80.025913
88.944741,100,80.157673
88.944741,100,80.289176
88.944241,100,80.421265
88.944741,100,80.554443
88.944741,100,80.687127
88.944741,100,80.82252
88.944741,100,80.95567
88.944741,100,81.087985
88.944741,100,81.220376
88.943814,100,81.379414
88.944741,100,81.512434
89.082864,100,81.644576
88.944741,100,81.778179
88.944741,100,81.910513
88.944741,100,82.042979
88.944741,100,83.094416
89.011544,100,83.239233
88.944741,100,83.371203
88.944741,100,83.503346
88.944741,100,83.634267
88.944741,100,83.766334
88.944741,100,83.897373
88.944741,100,84.028493
88.944741,100,84.160265
88.944741,100,84.291389
88.944741,100,84.422792
88.944741,100,84.554861
88.944741,100,84.687182
88.944741,100,84.820028
88.944741,100,84.952628
88.944741,100,85.088421
88.944741,100,85.222388
88.944741,100,85.356408
88.944741,100,85.490005
88.944741,100,85.623604
88.944741,100,87.272875
88.944741,100,87.418266
88.944741,100,87.560836
88.944741,100,87.7031
88.944741,100,87.838554
88.944741,100,87.972859
88.944741,100,88.10716
88.944741,100,88.241737
88.944741,100,88.377541
88.944741,100,88.511597
88.944372,100,88.646128
88.961607,100,88.778887
88.944741,100,88.911632
88.965838,100,89.043722
88.944741,100,89.175211
88.944741,100,89.313809
88.944741,100,89.445997
88.944741,100,89.577071
88.973923,100,89.709295
88.944741,100,89.845361
88.944741,100,89.987494
88.943664,100,91.136669
89.06452,100,91.27827
88.948723,100,91.411394
88.944741,100,91.544405
88.944741,100,91.677314
88.944741,100,91.811688
88.944741,100,91.946734
88.944741,100,92.081472
88.942171,100,92.216011
89.007296,100,92.350451
88.944741,100,92.481788
88.944741,100,92.613787
88.944741,100,92.758178
88.944741,100,92.890121
88.944741,100,93.023432
89.042612,100,93.180673
88.956663,100,93.312882
88.944741,100,93.445499
88.944741,100,93.577094
88.944741,100,93.708436
88.944741,100,94.710121
88.943358,100,94.866129
88.944741,100,95.001788
88.9413,100,95.137953
88.944741,100,95.273295
88.944741,100,95.408258
88.944741,100,95.54372
88.944741,100,95.679058
88.944741,100,95.815438
88.944741,100,96.575943
88.944741,100,96.710064
88.945813,100,96.865407
88.944741,100,97.001318
88.944741,100,97.136333
88.980053,100,97.270944
89.005322,100,97.404841
88.944741,100,97.539242
88.944724,100,97.674174
